TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE
Adeje,38001,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,62.7
Agaete,35001,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,57.2
Agulo,38002,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,51.1
Agüimes,35002,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,66.3
Alajeró,38003,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,62.2
Antigua,35003,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,64.4
Arafo,38004,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,63.2
Arico,38005,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,62.5
Arona,38006,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,62.9
Arrecife,35004,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,68.3
Artenara,35005,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,57.9
Arucas,35006,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,64.7
Barlovento,38007,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,49.9
Betancuria,35007,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,53.3
Breña Alta,38008,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,63.2
Breña Baja,38009,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,66.2
Buenavista del Norte,38010,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,53.1
Candelaria,38011,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,64.4
El Paso,38027,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,53.1
El Pinar de El Hierro,38901,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,58.9
El Rosario,38032,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,64.5
El Sauzal,38041,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,61.6
El Tanque,38044,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,58.2
Fasnia,38012,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,59.4
Firgas,35008,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,62.9
Frontera,38013,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,58.2
Fuencaliente de La Palma,38014,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,55.6
Garachico,38015,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,55.3
